Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
7210,x358x,210.0,6.5,Effretikon,105901314,7186,"8.7378581,47.4488415",1050000.0,5000.0,5882.84594685,-0.283595309564,8.7378581,47.4488415,-1.21828997777,-1.03949791348
7211,n012,135.0,5.5,Effretikon,105916642,6912,"8.6819014,47.4295039",1070000.0,7925.92592593,8319.43838692,-0.351579056935,8.6819014,47.4295039,-1.28428240296,-1.11030887265
7212,n012,135.0,5.5,Effretikon,105916643,6912,"8.6819014,47.4295039",1090000.0,8074.07407407,8319.43838692,-0.372161474792,8.6819014,47.4295039,-1.28428240296,-1.11030887265
7217,i190invest,68.0,2.5,Egerkingen,105642964,3451,"7.7990336,47.3210065",355000.0,5220.58823529,7358.63105043,-0.109209151124,7.7990336,47.3210065,-1.07871576054,-1.24430830894
7218,q045,65.0,2.5,Egerkingen,105975888,3448,"7.7972034,47.3183797",355000.0,5461.53846154,8523.20524694,0.0191111467408,7.7972034,47.3183797,-1.07830420132,-1.24427002592
7219,i190invest,85.0,3.5,Egerkingen,105352767,3451,"7.7990336,47.3210065",415000.0,4882.35294118,7358.63105043,-0.0622176750609,7.7990336,47.3210065,-1.07871576054,-1.24430830894
7220,q045,100.0,3.5,Egerkingen,105975887,3448,"7.7972034,47.3183797",465000.0,4650.0,8523.20524694,0.131859256866,7.7972034,47.3183797,-1.07830420132,-1.24427002592
7221,a252,116.0,4.5,Egerkingen,105625820,3441,"7.7943480,47.3216370",495000.0,4267.24137931,7876.43286607,0.0951794765252,7.794348,47.321637,-1.07431969669,-1.24093260491
7222,q045,120.0,3.5,Egerkingen,105975884,3448,"7.7972034,47.3183797",525000.0,4375.0,8523.20524694,0.170065370012,7.7972034,47.3183797,-1.07830420132,-1.24427002592
7223,q045,129.0,4.5,Egerkingen,105975886,3448,"7.7972034,47.3183797",555000.0,4302.3255814,8523.20524694,0.180162122958,7.7972034,47.3183797,-1.07830420132,-1.24427002592
7224,q114,95.0,3.5,Egerkingen,105698055,3450,"7.7979272,47.3198760",620000.0,6526.31578947,6746.02655164,-0.375725556465,7.7979272,47.319876,-1.07826175012,-1.24408504243
7225,q045,153.0,5.5,Egerkingen,105975885,3448,"7.7972034,47.3183797",635000.0,4150.32679739,8523.20524694,0.20127951474,7.7972034,47.3183797,-1.07830420132,-1.24427002592
7226,z032,153.0,5.5,Egerkingen,105830722,3441,"7.7943480,47.3216370",695000.0,4542.48366013,7876.43286607,0.0569397029843,7.794348,47.321637,-1.07431969669,-1.24093260491
7227,f500,150.0,6.0,Egerkingen,105986042,3427,"7.7882549,47.3197299",730000.0,4866.66666667,9912.92731916,0.294833393418,7.7882549,47.3197299,-1.06982626053,-1.23771462455
7228,f525,185.0,7.5,Egerkingen,105960230,3441,"7.7943480,47.3216370",920000.0,4972.97297297,7876.43286607,-0.00286874572431,7.794348,47.321637,-1.07431969669,-1.24093260491
7236,x541,136.0,4.5,Egg b. Zürich,105705564,6949,"8.6902616,47.3024340",985000.0,7242.64705882,9436.30403108,-0.101482602835,8.6902616,47.302434,-1.31767055245,-1.15228473924
7257,fonciavte,76.0,3.5,Eggerberg,105006544,3667,"7.8859670,46.3060520",149000.0,1960.52631579,7557.80134491,0.371386548396,7.885967,46.306052,-0.479055599348,-0.445854365984
